old_name,new_name
Luma.chequen_Landrum.7873,
Luma.chequen_RBGE.19980725G,
Melaleuca.alternifolia_Genome.MN310606,
Melaleuca.comboynensis_Lucas.206,
Melaleuca.leucadendra_LGC.00265,
Metrosideros.perforata_Lucas.209,
Metrosideros.rugosa_Grose.24,
Metrosideros.stipularis_RBGE.19952370A,
Metrosideros.tremuloides_Reynolds.175,
Mitrantia.bilocularis_Sankowsky.sn,
Mosiera.cabanasensis_Flickinger.33,
Mosiera.contrerasii_Salywon.sn,
Mosiera.cuspidata_Rodriguez.1464,
Mosiera.cuspidata_Salywon.1350,
Mosiera.ehrenbergii_Landrum.7375,
Mosiera.elliptica.subsp.insularis_OviedoChaves.sn,Mosiera.elliptica.subsp.insularis_Oviedo.sn
Mosiera.gracilipes_Salywon.1300,
Mosiera.havanensis_OviedoAlvares.sn,Mosiera.havanensis_Oviedo.sn
Mosiera.longipes_Flickinger.2015DR23,
Mosiera.longipes_Salywon.1183,
Mosiera.oonophylla_Oviedo.sn,
Mosiera.ophiticola_Flickinger.56,
Mosiera.wrightii_Flickinger.42,
Mosiera.xerophytica_Salywon.783,
Mosiera.yamaniguensis_Flickinger.63,
Myrceugenia.alpigena.var.fuliginea_Hatschbach.59697,
Myrceugenia.alpigena.var.longifolia_Harley.26218,
Myrceugenia.alpigena_Lucas.167,
Myrceugenia.bananalensis_Faria.4049,
Myrceugenia.brevipedicellata_Landrum.2830,
Myrceugenia.campestris_Kummrow.2940,
Myrceugenia.chrysocarpa_Landrum.8166,
Myrceugenia.colchaguensis_Landrum.8033,
Myrceugenia.correifolia_Teillier.5360,
Myrceugenia.cucullata_Wasum.105,
Myrceugenia.euosma_SoaresSilva.715,
Myrceugenia.exsucca_MurilloA.4217,
Myrceugenia.franciscensis_Miyagi.357,
Myrceugenia.gertii_Barbosa.948,
Myrceugenia.glaucescens_Landrum.11231,
Myrceugenia.hamoniana_Garcia.533,
Myrceugenia.kleinii_Cordeiro.734,
Myrceugenia.lanceolata_Mihoc.6220,
Myrceugenia.leptospermoides_MurilloA.4214,
Myrceugenia.leptospermoides_RBGE.19891714C,
Myrceugenia.miersiana_Lucas.164,
Myrceugenia.myrcioides.var.acrophylla_Ribas.229,
Myrceugenia.myrcioides_Lucas.503,
Myrceugenia.myrcioides_Lucas.82,
Myrceugenia.myrtoides_Rossato.47,
Myrceugenia.obtusa_Brownless.1227,
Myrceugenia.ovalifolia_Lucas.259,
Myrceugenia.ovata.var.acutata_Chagas.1979,
Myrceugenia.ovata.var.nannophylla_Mihoc.5162,
Myrceugenia.ovata.var.ovata_Gardner.19,
Myrceugenia.ovata.var.regnelliana_Silva.18,
Myrceugenia.ovata.var.regnelliana_Souza.10621,
Myrceugenia.ovata_RBGE.19982353C,
Myrceugenia.oxysepala_Ribas.2234,
Myrceugenia.parvifolia_Landrum.5916,
Myrceugenia.pilotantha.var.pilotantha_Lohmann.35,
Myrceugenia.pilotantha_Lucas.230,
Myrceugenia.pinifolia_Gardner.164,
Myrceugenia.planipes_Aedo.7378,
Myrceugenia.planipes_Landrum.sn,
Myrceugenia.planipes_RBGE.19981561B,
Myrceugenia.reitzii_Barbosa.945,
Myrceugenia.rufa_Teillier.150795,
Myrceugenia.rufescens_Lucas.469,
Myrceugenia.schulzei_Ruiz.8266,
Myrceugenia.seriatoramosa_Silva.2358,
Myrcia.abbotiana_Lucas.1108,
Myrcia.abbotiana_Vasconcelos.571,
Myrcia.aethusa_Lima.447,
Myrcia.aff.amazonica_Neto.3007,
Myrcia.aff.bergiana_Amorim.1810,
Myrcia.aff.crocea_Amorim.1919,
Myrcia.aff.glazioviana_Nadruz.1007,
Myrcia.aff.magnifolia_Lucas.1182,
Myrcia.aff.neomontana_Hoffmann.945,
Myrcia.aff.neomontana_Holst.9384,
Myrcia.aff.ochraciflora_Santos.793,
Myrcia.aff.racemosa_Lima.445,
Myrcia.aff.subacuminata_Staggemeier.742,
Myrcia.aff.subobliqua_Staggemeier.839,
Myrcia.amazonica_Lucas.130,
Myrcia.amazonica_Lucas.189,
Myrcia.amazonica_Lucas.59,
Myrcia.amazonica_Prevost.4751,
Myrcia.amplexicaulis_Amorim.1940,
Myrcia.anacardiifolia_Nadruz.999,
Myrcia.anceps_Lima.438,
Myrcia.anceps_Lucas.236,
Myrcia.anomala_Faria.1015,
Myrcia.apodocarpa_Acosta.sn,
Myrcia.ascendens_Santos.829,
Myrcia.aurea_Lucas.729,
Myrcia.barituensis_Serrano.5327,
Myrcia.barkeri_Lucas.1116,
Myrcia.bella_Faria.1692,
Myrcia.bella_Lima.379,
Myrcia.bergiana_Lima.409,
Myrcia.bicarinata_Santos.849,
Myrcia.bicolor_Lucas.219,
Myrcia.blanchetiana_Lima.436,
Myrcia.blanchetiana_Santos.819,
Myrcia.blanchetiana_Santos.834,
Myrcia.bracteata_Prevost.4712,
Myrcia.brasiliensis_Lucas.62,
Myrcia.camapuanensis_Staggemeier.327,
Myrcia.canapuensis_Gomez.sn,
Myrcia.cardiaca_Vasconcelos.274,
Myrcia.carvalhoi_Amorim.2026,
Myrcia.carvalhoi_Santos.751,
Myrcia.caudata_Zappi.1506,
Myrcia.cerqueiria_Amorim.2028,
Myrcia.cf.chytraculia_Lucas.1227,
Myrcia.cf.fluviatilis_Harley.54077,
Myrcia.cf.selleana_Flickinger.2015DR5,
Myrcia.cf.truncata_Souza.1139,
Myrcia.chytraculia_Flickinger.2016J5,
Myrcia.citrifolia_Flickinger.2015DR26,
Myrcia.citrifolia_Pollard.1193,
Myrcia.clarendonensis_Flickinger.2016J7,
Myrcia.clarendonensis_Vasconcelos.511,
Myrcia.clavija_Lucas.244,
Myrcia.coelosepala_Lucas.267,
Myrcia.congestiflora_Torres.1673,
Myrcia.cordiformis_Staggemeier.762,
Myrcia.cordiifolia_Faria.2470,
Myrcia.costeira_Lucas.71,
Myrcia.coumete_Lucas.107,
Myrcia.crocea_Amorim.1942,
Myrcia.cuprea_Staggemeier.862,
Myrcia.decorticans_Staggemeier.799_Brazil.SE,
Myrcia.deflexa_Flickinger.71,
Myrcia.deflexa_Swensen.170,
Myrcia.densa_Santos.643,
Myrcia.densa_Santos.811,
Myrcia.depauperata_MelloSilva.1713,
Myrcia.depauperata_Santos.613,
Myrcia.dictyophylla_SoaresSilva.751,
Myrcia.egensis_Araujo.311,
Myrcia.elevata_Santos.763,
Myrcia.eriocalyx_Faria.1446,
Myrcia.eriocephala_Araujo.1803,
Myrcia.eriopus_Lucas.258,
Myrcia.espiritosantensis_Amorim.2033,
Myrcia.estremenae_Flickinger.88,
Myrcia.eugeniopsoides_Lucas.61,
Myrcia.eumecephylla_Matsumoto.803,
Myrcia.excoriata_Matsumoto.825,
Myrcia.eximia_Santos.625,
Myrcia.fasciculata_Bhiki.285,
Myrcia.fenzliana_Santos.622,
Myrcia.fenzliana_Vasconcelos.592,
Myrcia.ferruginea_Lucas.1235,
Myrcia.ferruginosa_Santos.689,
Myrcia.flagellaris_Lucas.83,
Myrcia.florifera_Araujo.1885,
Myrcia.garciae_Araujo.1802,
Myrcia.gilsoniana_Lucas.1221,
Myrcia.glaziovii_Vasconcelos.501,
Myrcia.glomerata_Lucas.74,
Myrcia.grammica_Ribeiro.453,
Myrcia.grammica_Vasconcelos.483,
Myrcia.grandifolia_Faria.2073,
Myrcia.grandis_Staggemeier.850,
Myrcia.grazielae_Amorim.2016,
Myrcia.guianensis_Caddah.555,
Myrcia.guianensis_Harley.50707,
Myrcia.guianensis_Staggemeier.845,
Myrcia.guianensis_Lima.517,
Myrcia.guianensis_Lima.512,
Myrcia.guianensis_Vasconcelos.491,
Myrcia.guianensis_Lima.530,
Myrcia.hartwegiana_Amorim.1925,
Myrcia.hartwegiana_Lucas.155,
Myrcia.hatschbachii_Santos.661,
Myrcia.hebepetala_Lucas.64,
Myrcia.hedraiophylla_Araujo.1874,
Myrcia.hexasticha_Lucas.194,
Myrcia.hirtiflora_Staggemeier.751,
Myrcia.hylobates_Holst.8054,
Myrcia.ilheosensis_Amorim.2037,
Myrcia.inaequiloba_Lucas.105,
