"old_tips","new_tips"
"Eugenia.sintenisii_Flickinger.122","Eugenia.sintenisii"
"Eugenia.sparsa_Mazine.1084","Eugenia.sparsa"
"Eugenia.speciosa_Bunger.585","Eugenia.speciosa"
"Eugenia.sphenophylla_Lucas.257","Eugenia.sphenophylla"
"Eugenia.splendens_Faria.6793","Eugenia.splendens"
"Eugenia.sprengelii_Valdemarin.1143","Eugenia.sprengelii"
"Eugenia.spruceana_Holst.9465","Eugenia.spruceana"
"Eugenia.stahlii_Flickinger.67","Eugenia.stahlii"
"Eugenia.stenoxipha_Oviedo.sn","Eugenia.stenoxipha"
"Eugenia.stewardsonii_Flickinger.76","Eugenia.stewardsonii"
"Eugenia.stictopetala_Mazine.1077","Eugenia.stictopetala"
"Eugenia.stigmatosa_Valdemarin.1353","Eugenia.stigmatosa"
"Eugenia.stipitata_Stadnik.428","Eugenia.stipitata"
"Eugenia.stirpiflora_VIIS_1658","Eugenia.stirpiflora"
"Eugenia.subavenia_Mazine.805","Eugenia.subavenia"
"Eugenia.subglomerata_Mazine.461","Eugenia.subglomerata"
"Eugenia.subterminalis_Mazine.974","Eugenia.subterminalis"
"Eugenia.sulcata_Staggemeier.902","Eugenia.sulcata"
"Eugenia.supraaxillaris_Faria.3033","Eugenia.supraaxillaris"
"Eugenia.talbotii_Parmentier.5037","Eugenia.talbotii"
"Eugenia.tenuipedunculata_Mazine.993","Eugenia.tenuipedunculata"
"Eugenia.ternatifolia_Faria.2861","Eugenia.ternatifolia"
"Eugenia.tetramera_Holst.9422","Eugenia.tetramera"
"Eugenia.tinifolia_Page.25","Eugenia.tinifolia"
"Eugenia.torbeciana_Ionta.2047","Eugenia.torbeciana"
"Eugenia.tropophylla_Lowrey.2134","Eugenia.tropophylla"
"Eugenia.tuberculata_Oviedo.sn","Eugenia.tuberculata"
"Eugenia.umbellulifera_Vasconcelos.572","Eugenia.umbellulifera"
"Eugenia.umbrosa_Mazine.1085","Eugenia.umbrosa"
"Eugenia.umtamvunensis_Maurin.1794","Eugenia.umtamvunensis"
"Eugenia.unana_Faria.4221","Eugenia.unana"
"Eugenia.uniflora_Lucas.207","Eugenia.uniflora"
"Eugenia.varia_Oviedo.sn","Eugenia.varia"
"Eugenia.vattimoana_Giaretta.1465","Eugenia.vattimoana"
"Eugenia.vaughanii_Page.69","Eugenia.vaughanii"
"Eugenia.verdoorniae_vanWyk.12697","Eugenia.verdoorniae"
"Eugenia.verticillata_Duarte.sn.ESA85678","Eugenia.verticillata"
"Eugenia.vetula_Faria.1893","Eugenia.vetula"
"Eugenia.victoriana_Vasconcelos.717","Eugenia.victoriana"
